PERMNO,date,TICKER,PRC
86868,20061221,GS,198.10001
86868,20061222,GS,198.09000
86868,20061226,GS,199.86000
86868,20061227,GS,201.95000
86868,20061228,GS,200.80000
86868,20061229,GS,199.35001
86868,20070103,GS,200.72000
86868,20070104,GS,198.85001
86868,20070105,GS,199.05000
86868,20070108,GS,203.73000
86868,20070109,GS,204.08000
86868,20070110,GS,208.11000
86868,20070111,GS,211.88000
86868,20070112,GS,213.99001
86868,20070116,GS,213.59000
86868,20070117,GS,213.23000
86868,20070118,GS,209.67999
86868,20070119,GS,210.28999
86868,20070122,GS,212.97000
86868,20070123,GS,212.64000
86868,20070124,GS,220.10001
86868,20070125,GS,213.07001
86868,20070126,GS,213.50000
86868,20070129,GS,211.03999
86868,20070130,GS,208.78000
86868,20070131,GS,212.16000
86868,20070201,GS,212.00000
86868,20070202,GS,213.42999
86868,20070205,GS,212.55000
86868,20070206,GS,214.64999
86868,20070207,GS,213.55000
86868,20070208,GS,213.89999
86868,20070209,GS,213.28000
86868,20070212,GS,211.13000
86868,20070213,GS,212.53000
86868,20070214,GS,217.39999
86868,20070215,GS,216.82001
86868,20070216,GS,216.92000
86868,20070220,GS,220.94000
86868,20070221,GS,220.14999
86868,20070222,GS,218.97000
86868,20070223,GS,216.50000
86868,20070226,GS,214.00000
86868,20070227,GS,199.75999
86868,20070228,GS,201.75000
86868,20070301,GS,199.66000
86868,20070302,GS,195.67000
86868,20070305,GS,190.00000
86868,20070306,GS,197.37000
86868,20070307,GS,195.59000
86868,20070308,GS,199.94000
86868,20070309,GS,201.70000
86868,20070312,GS,202.60001
86868,20070313,GS,199.03000
86868,20070314,GS,200.14999
86868,20070315,GS,200.89000
86868,20070316,GS,199.00000
86868,20070319,GS,202.44000
86868,20070320,GS,204.00000
86868,20070321,GS,210.95000
86868,20070322,GS,210.08000
86868,20070323,GS,211.89000
86868,20070326,GS,211.73000
86868,20070327,GS,209.87000
86868,20070328,GS,206.75999
86868,20070329,GS,207.20000
86868,20070330,GS,206.63000
86868,20070402,GS,205.64999
86868,20070403,GS,209.75000
86868,20070404,GS,208.78999
86868,20070405,GS,207.92999
86868,20070409,GS,208.94000
86868,20070410,GS,209.05000
86868,20070411,GS,206.92999
86868,20070412,GS,207.05000
86868,20070413,GS,206.50000
86868,20070416,GS,214.52000
86868,20070417,GS,214.89999
86868,20070418,GS,216.75000
86868,20070419,GS,219.28999
86868,20070420,GS,220.00000
86868,20070423,GS,222.42000
86868,20070424,GS,220.72000
86868,20070425,GS,225.60001
86868,20070426,GS,224.81000
86868,20070427,GS,224.28000
86868,20070430,GS,218.61000
86868,20070501,GS,218.58000
86868,20070502,GS,219.49001
86868,20070503,GS,221.56000
86868,20070504,GS,227.34000
86868,20070507,GS,227.22000
86868,20070508,GS,224.95000
86868,20070509,GS,226.57001
86868,20070510,GS,223.10001
86868,20070511,GS,227.50000
86868,20070514,GS,226.17999
86868,20070515,GS,224.38000
86868,20070516,GS,227.11000
86868,20070517,GS,227.38000
86868,20070518,GS,230.34000
86868,20070521,GS,229.23000
86868,20070522,GS,230.71001
86868,20070523,GS,228.53999
86868,20070524,GS,225.67999
86868,20070525,GS,225.53000
86868,20070529,GS,228.44000
86868,20070530,GS,232.00000
86868,20070531,GS,230.82001
86868,20070601,GS,230.71001
86868,20070604,GS,229.71001
86868,20070605,GS,229.36000
86868,20070606,GS,227.35001
86868,20070607,GS,220.05000
86868,20070608,GS,225.06000
86868,20070611,GS,227.16000
86868,20070612,GS,227.85001
86868,20070613,GS,233.64000
86868,20070614,GS,225.75000
86868,20070615,GS,226.19000
86868,20070618,GS,226.97000
86868,20070619,GS,229.47000
86868,20070620,GS,225.89000
86868,20070621,GS,226.89999
86868,20070622,GS,222.39999
86868,20070625,GS,216.74001
86868,20070626,GS,214.17000
86868,20070627,GS,219.33000
86868,20070628,GS,218.96001
86868,20070629,GS,216.75000
86868,20070702,GS,219.17999
86868,20070703,GS,224.55000
86868,20070705,GS,221.32001
86868,20070706,GS,223.64000
86868,20070709,GS,223.30000
86868,20070710,GS,217.08000
86868,20070711,GS,216.72000
86868,20070712,GS,220.28999
86868,20070713,GS,222.17999
86868,20070716,GS,220.39999
86868,20070717,GS,219.39999
86868,20070718,GS,214.99001
86868,20070719,GS,211.69000
86868,20070720,GS,205.94000
86868,20070723,GS,205.03999
86868,20070724,GS,198.14999
86868,20070725,GS,203.16000
86868,20070726,GS,195.12000
86868,20070727,GS,192.64999
86868,20070730,GS,195.74001
86868,20070731,GS,188.34000
86868,20070801,GS,189.00000
86868,20070802,GS,187.46001
86868,20070803,GS,179.67999
86868,20070806,GS,187.78999
86868,20070807,GS,191.25000
86868,20070808,GS,193.30000
86868,20070809,GS,182.25000
86868,20070810,GS,180.50000
86868,20070813,GS,177.50000
86868,20070814,GS,169.75000
86868,20070815,GS,164.89999
86868,20070816,GS,169.85001
86868,20070817,GS,175.00000
86868,20070820,GS,172.75999
86868,20070821,GS,175.48000
86868,20070822,GS,177.89000
86868,20070823,GS,177.50000
86868,20070824,GS,179.73000
86868,20070827,GS,177.95000
86868,20070828,GS,170.95000
86868,20070829,GS,173.72000
86868,20070830,GS,171.38000
86868,20070831,GS,176.00999
86868,20070904,GS,180.80000
86868,20070905,GS,177.81000
86868,20070906,GS,179.17999
86868,20070907,GS,178.98000
86868,20070910,GS,183.61000
86868,20070911,GS,183.50000
86868,20070912,GS,182.53000
86868,20070913,GS,188.47000
86868,20070914,GS,190.59000
86868,20070917,GS,187.61000
86868,20070918,GS,200.50000
86868,20070919,GS,205.50000
86868,20070920,GS,203.53000
86868,20070921,GS,209.98000
86868,20070924,GS,210.42999
86868,20070925,GS,210.89999
86868,20070926,GS,214.61000
86868,20070927,GS,216.78000
86868,20070928,GS,216.74001
86868,20071001,GS,222.98000
86868,20071002,GS,228.02000
86868,20071003,GS,227.35001
86868,20071004,GS,225.95000
86868,20071005,GS,228.50000
86868,20071008,GS,226.96001
86868,20071009,GS,239.20000
86868,20071010,GS,235.94000
86868,20071011,GS,229.00999
86868,20071012,GS,233.56000
86868,20071015,GS,229.34000
86868,20071016,GS,224.83000
86868,20071017,GS,227.62000
86868,20071018,GS,227.85001
86868,20071019,GS,217.69000
86868,20071022,GS,222.17999
86868,20071023,GS,223.75999
86868,20071024,GS,225.12000
86868,20071025,GS,226.66000
86868,20071026,GS,235.92000
86868,20071029,GS,243.81000
86868,20071030,GS,240.33000
86868,20071031,GS,247.92000
86868,20071101,GS,240.21001
86868,20071102,GS,229.60001
