PERMNO,date,PRC
12490,20110330,163.60001
12490,20110331,163.07001
12490,20110401,164.27000
12490,20110404,164.25000
12490,20110405,163.99001
12490,20110406,164.03999
12490,20110407,164.38000
12490,20110408,164.05000
12490,20110411,163.95000
12490,20110412,163.25000
12490,20110413,163.95000
12490,20110414,164.97000
12490,20110415,166.21001
12490,20110418,165.94000
12490,20110419,165.39999
12490,20110420,164.75000
12490,20110421,168.28000
12490,20110425,167.67000
12490,20110426,168.49001
12490,20110427,170.37000
12490,20110428,170.78000
12490,20110429,170.58000
12490,20110502,172.14999
12490,20110503,172.87000
12490,20110504,170.62000
12490,20110505,168.46001
12490,20110506,168.89000
12490,20110509,169.10001
12490,20110510,170.38000
12490,20110511,169.50000
12490,20110512,172.24001
12490,20110513,169.92000
12490,20110516,168.86000
12490,20110517,170.50000
12490,20110518,170.44000
12490,20110519,170.59000
12490,20110520,170.16000
12490,20110523,168.25999
12490,20110524,167.99001
12490,20110525,167.75000
12490,20110526,167.17999
12490,20110527,167.50000
12490,20110531,168.92999
12490,20110601,166.56000
12490,20110602,166.09000
12490,20110603,165.05000
12490,20110606,164.75000
12490,20110607,163.69000
12490,20110608,164.34000
12490,20110609,164.84000
12490,20110610,163.17999
12490,20110613,163.17000
12490,20110614,164.12000
12490,20110615,162.33000
12490,20110616,162.67000
12490,20110617,164.44000
12490,20110620,165.02000
12490,20110621,166.22000
12490,20110622,165.67999
12490,20110623,166.12000
12490,20110624,165.07001
12490,20110627,167.62000
12490,20110628,170.00999
12490,20110629,170.53999
12490,20110630,171.55000
12490,20110701,174.53999
12490,20110705,175.42999
12490,20110706,177.71001
12490,20110707,176.48000
12490,20110708,176.49001
12490,20110711,174.99001
12490,20110712,174.05000
12490,20110713,174.32001
12490,20110714,174.23000
12490,20110715,175.53999
12490,20110718,175.28000
12490,20110719,185.21001
12490,20110720,183.64999
12490,20110721,184.89999
12490,20110722,185.17999
12490,20110725,183.70000
12490,20110726,182.92999
12490,20110727,181.35001
12490,20110728,181.80000
12490,20110729,181.85001
12490,20110801,180.75000
12490,20110802,178.05000
12490,20110803,178.83000
12490,20110804,171.48000
12490,20110805,172.98000
12490,20110808,166.22000
12490,20110809,170.61000
12490,20110810,162.53999
12490,20110811,166.73000
